file,split,true_tier,rot,sprouted
19-177-Purple-Yam-Royalty-Free-Images-001_jpg.rf.001318948ee8be83745b776b83a7e7a2.jpg,test,,,
Analytical-Data-Purple-Yam-KLTfruits_jpg.rf.2b93f6ec74269e986a0066fd577041d4.jpg,test,,,
Dag-Vers-Purple-Yam-Amazing-Oriental_png.rf.7daa596817cb4874bbb2d9f2bdc4d5f6.jpg,test,,,
Fresh-Purple-Yam-Premium-Quality-at_jpg.rf.ef63ca5e4333fadca728f8809e94b662.jpg,test,,,
Frozen-Purple-Yam-Ube-Without-Stem-IQF_jpg.rf.2aabf30cdfd9d3127d777c4817e8f84b.jpg,test,,,
Frozen-Purple-Yam-Whole_Halfcut_Cube_jpg.rf.b423f4bd649ba9741565bec3438d30ac.jpg,calibrate,,,
How-to-Grow-Ube-Winged-Yam-Self_jpg.rf.c5e061a99b0ebc1cfc5a721a7232acfa.jpg,calibrate,,,
How-to-Plant-Grow-and-Care-for-Ube-001_jpg.rf.7de57d0f891efcb7519fc5ff41fca090.jpg,test,,,
Okinawan-Sweet-Potatoes-Melissas-Produce_jpg.rf.feb34bb0e13d12609b3d104756966699.jpg,calibrate,,,
PURPLE-YAM-FROZEN-Fruit-Offer_jpg.rf.22361a467c78dc648b656b171c413607.jpg,calibrate,,,
Purple-Sweet-Potato-approx-350-400g_jpg.rf.fec2c4f001720f8940d3526924cb3d7a.jpg,calibrate,,,
Purple-Sweet-Potatoes-Must-Try_jpg.rf.e871eefe12c1d1bfefb41c3361d75d8f.jpg,calibrate,,,
Purple-Yam-_-Ube-1-kilo-Lunti-Plant-001_jpg.rf.5ebd646c462b0416cbdd45c9989a0c59.jpg,calibrate,,,
Purple-Yam-_-Ube-1-kilo-Lunti-Plant-003_jpg.rf.b918394ff07c6f06de7097c3c89003fb.jpg,test,,,
Purple-Yam-_-Water-Yam_jpg.rf.ea4449cdfa92dd93a01acabbeaebf6de.jpg,calibrate,,,
Purple-yam-ube-Dioscorea-alata_jpg.rf.dda5caa16660acc778748bd20d35cd9b.jpg,calibrate,,,
Purple-yam_Baiduwiki_jpg.rf.d33cb97223af24dfdac26600d0fe27c3.jpg,calibrate,,,
Ube-Nutrition-_-Nutritional-Outlook_jpg.rf.eb602bed4168d1ad17d319851969c8c2.jpg,test,,,
Ube-True-Purple-Yam-Dioscorea-Alata_jpg.rf.435afeb811bb7733049c53f06f23b6ca.jpg,test,,,
Ube-or-Purple-Yam-Grower-_-Quezon_jpg.rf.3484157a98f1a9ff65dd64e213a4c7b6.jpg,calibrate,,,
Violet-sweetness_-Ubi-s-full-potentials_jpg.rf.b0c78ac2b16876d2d96db8e84f4ddbcc.jpg,calibrate,,,
Yam-crop-hi-res-stock-photography-and_jpg.rf.5ba67a1f82596c0f00be80891f115e98.jpg,test,,,
rot1.jpg,test,,,
rot10.jpg,test,,,
rot2.jpg,calibrate,,,
rot3.jpg,calibrate,,,
rot4.jpg,calibrate,,,
rot5.jpg,test,,,
rot6.jpg,calibrate,,,
rot7.jpg,calibrate,,,
rot8.jpg,test,,,
rot9.jpg,test,,,
rotspt1.jpg,test,,,
rotspt2.jpg,test,,,
